
CSVNAME        ;OLDNAME        ;NEWNAME        ;NBRROWS;NBRNULLVALUES;NBRNOTNULLVALUES;MINLENGTH;MAXLENGTH;NBRWORDS;NBRVALUESVARCHARTYPE;NBRVALUESNUMBERTYPE;NBRVALUESDATETYPE;NBRVALUESBOOLEANTYPE;NBRVALUESNULLTYPE;NBROFDIFFERENTEVALUES;THEDOMINANTSYNTACTICTYPE      ;NUMBEROFSYNTACTICANOMALIES;NUMBEROFSYNTACTICNORMALVALUES;THEDOMINANTSEMANTICTYPE       ;NUMBEROFSEMANTICANOMALIES;NUMBEROFSEMANTICNORMALVALUES
---------------;---------------;---------------;-------;-------------;----------------;---------;---------;--------;--------------------;-------------------;-----------------;--------------------;-----------------;---------------------;------------------------------;--------------------------;-----------------------------;------------------------------;-------------------------;----------------------------
CSVfile1       ;COL1           ;COL1_NAMES     ;     12;            0;              12;        3;        9;       1;                  12;                  0;                0;                   0;                0;                   -1;VARCHAR2                      ;                         0;                           12;NAMES                         ;                        0;                          12
CSVfile1       ;COL2           ;COL2_NAMES     ;     12;            0;              12;        2;        7;       1;                  11;                  1;                0;                   0;                0;                   -1;VARCHAR2                      ;                         1;                           11;NAMES                         ;                        1;                          11
CSVfile1       ;COL3           ;COL3_GENDER    ;     12;            0;              12;        1;       10;       1;                  10;                  1;                1;                   0;                0;                   -1;VARCHAR2                      ;                         2;                           10;GENDER                        ;                        2;                          10
CSVfile1       ;COL4           ;COL4_AGE       ;     12;            1;              11;        0;        2;       1;                   0;                 11;                0;                   0;                1;                   -1;NUMBER                        ;                         1;                           11;AGE                           ;                        1;                          11
CSVfile1       ;COL5           ;COL5_DATE      ;     12;            1;              11;        0;       10;       1;                   0;                  0;               10;                   0;                2;                   -1;DATE                          ;                         2;                           10;DATE                          ;                        2;                          10
CSVfile1       ;COL6           ;COL6_TEMPERATUR;     12;            1;              11;        0;        9;       1;                   1;                  8;                0;                   0;                3;                   -1;NUMBER                        ;                         4;                            8;TEMPERATURE                   ;                        4;                           8
               ;               ;E              ;       ;             ;                ;         ;         ;        ;                    ;                   ;                 ;                    ;                 ;                     ;                              ;                          ;                             ;                              ;                         ;


6 lignes sélectionnées.

